Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp4,8,case_008_zf0050_svcl030_cvcl050,50,0.3,0.5,2000,2000,0,1,408001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_008_zf0050_svcl030_cvcl050\predict_runs.mat
famp4,9,case_009_zf0050_svcl030_cvcl060,50,0.3,0.6,2000,2000,0,1,409001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_009_zf0050_svcl030_cvcl060\predict_runs.mat
famp4,10,case_010_zf0500_svcl010_cvcl040,500,0.1,0.4,2000,2000,0,1,410001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_010_zf0500_svcl010_cvcl040\predict_runs.mat
famp4,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,411001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
famp4,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,412001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
famp4,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2000,0,1,413001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
famp4,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,414001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
famp4,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,415001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
famp4,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,416001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
famp4,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,417001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
famp4,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,418001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
famp4,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,419001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
famp4,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,420001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
famp4,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,421001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
famp4,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,422001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
famp4,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,423001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
famp4,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,424001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
famp4,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,425001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
famp4,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,426001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
famp4,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,427001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp4\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
famp5,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,501001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
famp5,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,502001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
famp5,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,503001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
famp5,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,504001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
famp5,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,505001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
famp5,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,506001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
famp5,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,507001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp5\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
