Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase
famp2,SmallRun,NaN,100,7,100,100,0,1,303071729
famp2,SmallRun,NaN,100,8,100,100,0,1,303081729
famp2,SmallRun,NaN,100,9,100,100,0,1,303091729
famp2,SmallRun,NaN,100,10,100,100,0,1,303101729
famp2,SmallRun,NaN,100,11,100,100,0,1,303111729
famp2,SmallRun,NaN,100,12,100,100,0,1,303121729
famp2,SmallRun,NaN,100,13,100,100,0,1,303131729
famp2,SmallRun,NaN,100,14,100,100,0,1,303141729
famp2,SmallRun,NaN,100,15,100,100,0,1,303151729
famp2,SmallRun,NaN,100,16,100,100,0,1,303161729
famp2,SmallRun,NaN,100,17,100,100,0,1,303171729
famp2,SmallRun,NaN,100,18,100,100,0,1,303181729
famp2,SmallRun,NaN,100,19,100,100,0,1,303191729
famp2,SmallRun,NaN,100,20,100,100,0,1,303201729
famp2,SmallRun,NaN,100,21,100,100,0,1,303211729
famp2,SmallRun,NaN,100,22,100,100,0,1,303221729
famp2,SmallRun,NaN,100,23,100,100,0,1,303231729
famp2,SmallRun,NaN,100,24,100,100,0,1,303241729
famp2,SmallRun,NaN,100,25,100,100,0,1,303251729
famp2,SmallRun,NaN,100,26,100,100,0,1,303261729
famp2,SmallRun,NaN,100,27,100,100,0,1,303271729
famp2,SmallRun,NaN,100,28,100,100,0,1,303281729
famp2,SmallRun,NaN,100,29,100,100,0,1,303291729
famp2,SmallRun,NaN,100,30,100,100,0,1,303301729
famp2,SmallRun,NaN,200,1,200,200,0,1,304011729
famp2,SmallRun,NaN,200,2,200,200,0,1,304021729
famp2,SmallRun,NaN,200,3,200,200,0,1,304031729
famp2,SmallRun,NaN,200,4,200,200,0,1,304041729
famp2,SmallRun,NaN,200,5,200,200,0,1,304051729
famp2,SmallRun,NaN,200,6,200,200,0,1,304061729
famp2,SmallRun,NaN,200,7,200,200,0,1,304071729
famp2,SmallRun,NaN,200,8,200,200,0,1,304081729
famp2,SmallRun,NaN,200,9,200,200,0,1,304091729
famp2,SmallRun,NaN,200,10,200,200,0,1,304101729
famp2,SmallRun,NaN,200,11,200,200,0,1,304111729
famp2,SmallRun,NaN,200,12,200,200,0,1,304121729
famp2,SmallRun,NaN,200,13,200,200,0,1,304131729
famp2,SmallRun,NaN,200,14,200,200,0,1,304141729
famp2,SmallRun,NaN,200,15,200,200,0,1,304151729
famp2,SmallRun,NaN,200,16,200,200,0,1,304161729
famp2,SmallRun,NaN,200,17,200,200,0,1,304171729
